Date,gt,Cases,Pathogen
2016.7561643835616,-1,70,Respiratory syncytial virus
2016.7753424657535,6,96,Respiratory syncytial virus
2016.7945205479452,13,118,Respiratory syncytial virus
2016.813698630137,20,144,Respiratory syncytial virus
2016.8328767123287,27,165,Respiratory syncytial virus
2016.8520547945207,34,243,Respiratory syncytial virus
2016.8712328767124,41,272,Respiratory syncytial virus
2016.890410958904,48,257,Respiratory syncytial virus
2016.9095890410958,55,269,Respiratory syncytial virus
2016.9287671232876,62,274,Respiratory syncytial virus
2016.9479452054795,69,238,Respiratory syncytial virus
2016.9671232876713,76,213,Respiratory syncytial virus
2016.986301369863,83,235,Respiratory syncytial virus
2017.0054794520547,90,183,Respiratory syncytial virus
2017.0246575342467,97,116,Respiratory syncytial virus
2017.0438356164384,104,84,Respiratory syncytial virus
2017.0630136986301,111,49,Respiratory syncytial virus
2017.0821917808219,118,37,Respiratory syncytial virus
2017.1013698630136,125,27,Respiratory syncytial virus
2017.1205479452055,132,21,Respiratory syncytial virus
2017.1397260273973,139,14,Respiratory syncytial virus
2017.158904109589,146,14,Respiratory syncytial virus
2017.1780821917807,153,14,Respiratory syncytial virus
2017.1972602739727,160,9,Respiratory syncytial virus
2017.2164383561644,167,12,Respiratory syncytial virus
2017.2356164383561,174,7,Respiratory syncytial virus
2017.2547945205479,181,11,Respiratory syncytial virus
2017.2739726027398,188,5,Respiratory syncytial virus
2017.2931506849316,195,3,Respiratory syncytial virus
2017.3123287671233,202,6,Respiratory syncytial virus
2017.331506849315,209,6,Respiratory syncytial virus
2017.3506849315067,216,2,Respiratory syncytial virus
2017.3698630136987,223,5,Respiratory syncytial virus
2017.3890410958904,230,3,Respiratory syncytial virus
2017.4082191780822,237,4,Respiratory syncytial virus
2017.427397260274,244,1,Respiratory syncytial virus
2017.4465753424658,251,1,Respiratory syncytial virus
2017.4657534246576,258,1,Respiratory syncytial virus
2017.4849315068493,265,1,Respiratory syncytial virus
2017.504109589041,272,0,Respiratory syncytial virus
2017.5232876712328,279,4,Respiratory syncytial virus
2017.5424657534247,286,7,Respiratory syncytial virus
2017.5616438356165,293,3,Respiratory syncytial virus
2017.5808219178082,300,1,Respiratory syncytial virus
2017.6,307,8,Respiratory syncytial virus
2017.6191780821919,314,2,Respiratory syncytial virus
2017.6383561643836,321,7,Respiratory syncytial virus
2017.6575342465753,328,3,Respiratory syncytial virus
2017.676712328767,335,9,Respiratory syncytial virus
2017.695890410959,342,11,Respiratory syncytial virus
2017.7150684931507,349,13,Respiratory syncytial virus
2017.7342465753425,356,17,Respiratory syncytial virus
2017.7534246575342,363,25,Respiratory syncytial virus
2017.772602739726,370,49,Respiratory syncytial virus
2017.7917808219179,377,50,Respiratory syncytial virus
2017.8109589041096,384,69,Respiratory syncytial virus
2017.8301369863013,391,85,Respiratory syncytial virus
2017.849315068493,398,151,Respiratory syncytial virus
2017.868493150685,405,206,Respiratory syncytial virus
2017.8876712328768,412,243,Respiratory syncytial virus
2017.9068493150685,419,265,Respiratory syncytial virus
2017.9260273972602,426,272,Respiratory syncytial virus
2017.945205479452,433,299,Respiratory syncytial virus
2017.964383561644,440,282,Respiratory syncytial virus
2017.9835616438356,447,270,Respiratory syncytial virus
2018.0027397260274,454,215,Respiratory syncytial virus
2018.021917808219,461,134,Respiratory syncytial virus
2018.041095890411,468,118,Respiratory syncytial virus
2018.0602739726028,475,74,Respiratory syncytial virus
2018.0794520547945,482,62,Respiratory syncytial virus
2018.0986301369862,489,49,Respiratory syncytial virus
2018.1178082191782,496,53,Respiratory syncytial virus
2018.13698630137,503,33,Respiratory syncytial virus
2018.1561643835616,510,39,Respiratory syncytial virus
2018.1753424657534,517,24,Respiratory syncytial virus
2018.194520547945,524,26,Respiratory syncytial virus
2018.213698630137,531,35,Respiratory syncytial virus
2018.2328767123288,538,25,Respiratory syncytial virus
2018.2520547945205,545,29,Respiratory syncytial virus
2018.2712328767122,552,27,Respiratory syncytial virus
2018.2904109589042,559,20,Respiratory syncytial virus
2018.309589041096,566,22,Respiratory syncytial virus
2018.3287671232877,573,22,Respiratory syncytial virus
2018.3479452054794,580,8,Respiratory syncytial virus
2018.3671232876711,587,9,Respiratory syncytial virus
2018.386301369863,594,10,Respiratory syncytial virus
2018.4054794520548,601,8,Respiratory syncytial virus
2018.4246575342465,608,8,Respiratory syncytial virus
2018.4438356164383,615,12,Respiratory syncytial virus
2018.4630136986302,622,8,Respiratory syncytial virus
2018.482191780822,629,4,Respiratory syncytial virus
2018.5013698630137,636,4,Respiratory syncytial virus
2018.5205479452054,643,8,Respiratory syncytial virus
2018.5397260273974,650,2,Respiratory syncytial virus
2018.558904109589,657,6,Respiratory syncytial virus
2018.5780821917808,664,4,Respiratory syncytial virus
2018.5972602739726,671,4,Respiratory syncytial virus
2018.6164383561643,678,7,Respiratory syncytial virus
2018.6356164383562,685,8,Respiratory syncytial virus
2018.654794520548,692,12,Respiratory syncytial virus
2018.6739726027397,699,8,Respiratory syncytial virus
2018.6931506849314,706,11,Respiratory syncytial virus
2018.7123287671234,713,17,Respiratory syncytial virus
2018.731506849315,720,16,Respiratory syncytial virus
2018.7506849315068,727,47,Respiratory syncytial virus
2018.7698630136986,734,68,Respiratory syncytial virus
2018.7890410958903,741,71,Respiratory syncytial virus
2018.8082191780823,748,89,Respiratory syncytial virus
2018.827397260274,755,145,Respiratory syncytial virus
2018.8465753424657,762,205,Respiratory syncytial virus
2018.8657534246574,769,271,Respiratory syncytial virus
2018.8849315068494,776,259,Respiratory syncytial virus
2018.9041095890411,783,336,Respiratory syncytial virus
2018.9232876712329,790,343,Respiratory syncytial virus
2018.9424657534246,797,302,Respiratory syncytial virus
2018.9616438356165,804,305,Respiratory syncytial virus
2018.9808219178083,811,214,Respiratory syncytial virus
2019.0,818,236,Respiratory syncytial virus
2019.0191780821917,825,159,Respiratory syncytial virus
2019.0383561643835,832,125,Respiratory syncytial virus
2019.0575342465754,839,85,Respiratory syncytial virus
2019.0767123287671,846,70,Respiratory syncytial virus
2019.0958904109589,853,60,Respiratory syncytial virus
2019.1150684931506,860,37,Respiratory syncytial virus
2019.1342465753426,867,25,Respiratory syncytial virus
