WeekBeginning,WeekEnding,AgeGroup,Pathogen,RatePer100000,Date,gt,Offsetdate,Year,FractionDate,_Row,Rate<1 years,Rate1-4 years,Rate5-14 years,Rate15-44 years,Rate45-64 years,Rate65-74 years,Rate75+ years
20161003,20161009,<1 years,Respiratory syncytial virus,21.6,2016.7561643835616,-1,2016.5095890410958,2016,0.5095890410957509,1,21.6,,,,,,
20161003,20161009,1-4 years,Respiratory syncytial virus,20.3,2016.7561643835616,-1,2016.5095890410958,2016,0.5095890410957509,2,,20.3,,,,,
20161003,20161009,5-14 years,Respiratory syncytial virus,1.0,2016.7561643835616,-1,2016.5095890410958,2016,0.5095890410957509,3,,,1.0,,,,
20161003,20161009,15-44 years,Respiratory syncytial virus,0.1,2016.7561643835616,-1,2016.5095890410958,2016,0.5095890410957509,4,,,,0.1,,,
20161003,20161009,45-64 years,Respiratory syncytial virus,0.1,2016.7561643835616,-1,2016.5095890410958,2016,0.5095890410957509,5,,,,,0.1,,
20161003,20161009,65-74 years,Respiratory syncytial virus,0.0,2016.7561643835616,-1,2016.5095890410958,2016,0.5095890410957509,6,,,,,,0.0,
20161003,20161009,75+ years,Respiratory syncytial virus,0.2,2016.7561643835616,-1,2016.5095890410958,2016,0.5095890410957509,7,,,,,,,0.2
20161010,20161016,<1 years,Respiratory syncytial virus,45.0,2016.7753424657535,6,2016.5287671232877,2016,0.5287671232877074,8,66.6,,,,,,
20161010,20161016,1-4 years,Respiratory syncytial virus,22.0,2016.7753424657535,6,2016.5287671232877,2016,0.5287671232877074,9,,42.3,,,,,
20161010,20161016,5-14 years,Respiratory syncytial virus,1.2,2016.7753424657535,6,2016.5287671232877,2016,0.5287671232877074,10,,,2.2,,,,
20161010,20161016,15-44 years,Respiratory syncytial virus,0.2,2016.7753424657535,6,2016.5287671232877,2016,0.5287671232877074,11,,,,0.30000000000000004,,,
20161010,20161016,45-64 years,Respiratory syncytial virus,0.1,2016.7753424657535,6,2016.5287671232877,2016,0.5287671232877074,12,,,,,0.2,,
20161010,20161016,65-74 years,Respiratory syncytial virus,0.7,2016.7753424657535,6,2016.5287671232877,2016,0.5287671232877074,13,,,,,,0.7,
20161010,20161016,75+ years,Respiratory syncytial virus,0.7,2016.7753424657535,6,2016.5287671232877,2016,0.5287671232877074,14,,,,,,,0.8999999999999999
20161017,20161023,<1 years,Respiratory syncytial virus,64.8,2016.7945205479452,13,2016.5479452054794,2016,0.5479452054794365,15,131.39999999999998,,,,,,
20161017,20161023,1-4 years,Respiratory syncytial virus,27.2,2016.7945205479452,13,2016.5479452054794,2016,0.5479452054794365,16,,69.5,,,,,
20161017,20161023,5-14 years,Respiratory syncytial virus,0.2,2016.7945205479452,13,2016.5479452054794,2016,0.5479452054794365,17,,,2.4000000000000004,,,,
20161017,20161023,15-44 years,Respiratory syncytial virus,0.1,2016.7945205479452,13,2016.5479452054794,2016,0.5479452054794365,18,,,,0.4,,,
20161017,20161023,45-64 years,Respiratory syncytial virus,0.5,2016.7945205479452,13,2016.5479452054794,2016,0.5479452054794365,19,,,,,0.7,,
20161017,20161023,65-74 years,Respiratory syncytial virus,0.5,2016.7945205479452,13,2016.5479452054794,2016,0.5479452054794365,20,,,,,,1.2,
20161017,20161023,75+ years,Respiratory syncytial virus,1.1,2016.7945205479452,13,2016.5479452054794,2016,0.5479452054794365,21,,,,,,,2.0
20161024,20161030,<1 years,Respiratory syncytial virus,68.4,2016.813698630137,20,2016.5671232876712,2016,0.5671232876711656,22,199.79999999999998,,,,,,
20161024,20161030,1-4 years,Respiratory syncytial virus,33.7,2016.813698630137,20,2016.5671232876712,2016,0.5671232876711656,23,,103.2,,,,,
20161024,20161030,5-14 years,Respiratory syncytial virus,0.7,2016.813698630137,20,2016.5671232876712,2016,0.5671232876711656,24,,,3.1000000000000005,,,,
20161024,20161030,15-44 years,Respiratory syncytial virus,0.3,2016.813698630137,20,2016.5671232876712,2016,0.5671232876711656,25,,,,0.7,,,
20161024,20161030,45-64 years,Respiratory syncytial virus,0.3,2016.813698630137,20,2016.5671232876712,2016,0.5671232876711656,26,,,,,1.0,,
20161024,20161030,65-74 years,Respiratory syncytial virus,1.8,2016.813698630137,20,2016.5671232876712,2016,0.5671232876711656,27,,,,,,3.0,
20161024,20161030,75+ years,Respiratory syncytial virus,0.5,2016.813698630137,20,2016.5671232876712,2016,0.5671232876711656,28,,,,,,,2.5
20161031,20161106,<1 years,Respiratory syncytial virus,68.4,2016.8328767123287,27,2016.586301369863,2016,0.5863013698628947,29,268.2,,,,,,
20161031,20161106,1-4 years,Respiratory syncytial virus,43.2,2016.8328767123287,27,2016.586301369863,2016,0.5863013698628947,30,,146.4,,,,,
20161031,20161106,5-14 years,Respiratory syncytial virus,1.0,2016.8328767123287,27,2016.586301369863,2016,0.5863013698628947,31,,,4.1000000000000005,,,,
20161031,20161106,15-44 years,Respiratory syncytial virus,0.0,2016.8328767123287,27,2016.586301369863,2016,0.5863013698628947,32,,,,0.7,,,
20161031,20161106,45-64 years,Respiratory syncytial virus,0.5,2016.8328767123287,27,2016.586301369863,2016,0.5863013698628947,33,,,,,1.5,,
20161031,20161106,65-74 years,Respiratory syncytial virus,1.6,2016.8328767123287,27,2016.586301369863,2016,0.5863013698628947,34,,,,,,4.6,
20161031,20161106,75+ years,Respiratory syncytial virus,0.7,2016.8328767123287,27,2016.586301369863,2016,0.5863013698628947,35,,,,,,,3.2
